人一叩 命
口且 咀
口包 咆
口乍 咋
禾口 和
久人口 咎
夂人口 咎
口付 咐
口口几 咒
口古 咕
口加 咖
次口 咨
口交 咬
口各 咯
口自 咱
口亥 咳
戊一口 咸
口因 咽
衣口 哀
口口口 品
口共 哄
口多 哆
口圭 哇
口土土 哇
口合 哈
十戈口 哉
土戈口 哉
口向 响
口艾 哎
口贝 员
可可 哥
口我 哦
口肖 哨
口里 哩
口那 哪
口口犬 哭
口孝 哮
折口 哲
口甫 哺
口享 哼
口言 唁
口夋 唆
口辰 唇
口矣 唉
广肀口 唐
广聿口 唐
口亚 哑
口虎 唬
隹口 售
口隹 唯
口昌 唱
今心 念
口垂 唾
口肯 啃
口豖 啄
亠丷冂儿口 商
亠丷冏 商
口阿 啊
门口 问
户口 启
口亚 哑
户口 启
口非 啡
口卑 啤
口舍 啥
口拉 啦
口拍 啪
口帝 啼
口客 喀
口畏 喂
羊丷一口 善
折口 哲
口剌 喇
口侯 喉
口咸 喊
口耑 喘
口山而 喘
口奂 唤
士口丷一口 喜
口曷 喝
口宣 喧
土丷 丧
夭丿丨 乔
丷甲一 单
口约喲 哟
口查 喳
草冖吕 营
艸冖吕 营
艹冖吕 营
口俞 喻
口臭 嗅
口仓 呛
口马 吗
口桑 嗓
口乌 呜
口耆 嗜
口老日 嗜
口翁 嗡
口冊司 嗣
口欶 嗽
口束欠 嗽
口又 叹
吉丷一加 嘉
士口丷一加 嘉
口戛 嘎
口区 呕
小冖云 尝
口麻 嘛
口肃 啸
口华 哗
口肃 啸
口朝 嘲
口觜 嘴
口斯 嘶
口喜 嘻
口黑 嘿
亚心 恶
口壹 噎
口虚 嘘
口齿 啮
口口大口口 器
口喿 噪
口品木 噪
口筮 噬
口贲 喷
口葛 噶
口屯 吨
小彐 当
口下 吓
口豪 嚎
口疐 嚏
小冖云 尝
口疐 嚏
口齿 啮
口因 咽
口龙 咙
丶冂口 向
亚丿 严
口襄 嚷
口爵 嚼
口口页口口 嚣
